Plate,Well,Characteristics [Organism 1],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism 2],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Line],Term Source 3 REF,Term Source 3 Accession,Prestwick Chemical Library ID,Compound Name,Compound PubChem CID,Compound PubChem URL,Compound Concentration (microMolar),CAS,Compound SMILES,Comment [Experimental Results],Experimental Condition [DMSO solvent],Control Type,Comment [Control Type Comments],Quality Control,Comment [Quality Control Comments],Channels
BSF019243-1A,A1,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A10,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-170,Phenelzine sulfate,61100,https://pubchem.ncbi.nlm.nih.gov/compound/61100,1.25,156-51-4,N(N)CCc1ccccc1,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A11,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-1714,Adapalene,60164,https://pubchem.ncbi.nlm.nih.gov/compound/60164,1.25,106685-40-9,[C@@]12(c3cc(c4cc5c(cc(C(=O)O)cc5)cc4)ccc3OC)C[C@]3(C[C@@](C1)(C[C@@](C2)(C3)[H])[H])[H],,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A12,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-1730,Cefuroxime axetil,6321416,https://pubchem.ncbi.nlm.nih.gov/compound/6321416,1.25,64544-07-6,N1\2C([C@H]([C@H]1SC\C(=C2\C(OC(OC(=O)C)C)=O)\COC(=O)N)NC(\C(\c1occc1)=N/OC)=O)=O,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A13,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-1746,Lodoxamide,44564,https://pubchem.ncbi.nlm.nih.gov/compound/44564,1.25,53882-12-5,c1(c(c(NC(C(=O)O)=O)cc(C#N)c1)Cl)NC(C(=O)O)=O,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A14,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-1764,Nelfinavir mesylate,64142,https://pubchem.ncbi.nlm.nih.gov/compound/64142,1.25,159989-65-8,N1([C@H](C(NC(C)(C)C)=O)C[C@]2([C@@](C1)(CCCC2)[H])[H])C[C@H]([C@@H](NC(c1c(c(O)ccc1)C)=O)CSc1ccccc1)O,top hit,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A15,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-1780,Oxymetholone,5281034,https://pubchem.ncbi.nlm.nih.gov/compound/5281034,1.25,434-07-1,[C@]12([C@@]3([C@]([C@]4([C@@]([C@](CC4)(O)C)(CC3)C)[H])(CC[C@]1(CC(/C(/C2)=C/O)=O)[H])[H])[H])C,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A16,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-1797,Grepafloxacin,72474,https://pubchem.ncbi.nlm.nih.gov/compound/72474,1.25,146863-02-7,OC(C1=CN(c2cc(c(F)c(C)c2C1=O)N1CCNC(C1)C)C1CC1)=O,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A17,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-187,Catharanthine,5458190,https://pubchem.ncbi.nlm.nih.gov/compound/5458190,1.25,2468-21-5,[C@]12(c3c(c4c([nH]3)cccc4)CC[N@]3[C@@]1(\C(=C/[C@@](C2)(C3)[H])\CC)[H])C(=O)OC,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A18,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-201,Ranitidine hydrochloride,3033332,https://pubchem.ncbi.nlm.nih.gov/compound/3033332,1.25,66357-59-3,[N+](/C=C(/NC)\NCCSCc1oc(cc1)CN(C)C)([O-])=O,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A19,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-217,Mebendazole,4030,https://pubchem.ncbi.nlm.nih.gov/compound/4030,1.25,31431-39-7,c1(nc2c([nH]1)ccc(C(=O)c1ccccc1)c2)NC(=O)OC,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A2,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A20,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-231,Etodolac,3308,https://pubchem.ncbi.nlm.nih.gov/compound/3308,1.25,41340-25-4,c12[nH]c3c(c1CCOC2(CC(=O)O)CC)cccc3CC,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A21,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-247,Albendazole,2082,https://pubchem.ncbi.nlm.nih.gov/compound/2082,1.25,54965-21-8,c1(nc2c([nH]1)ccc(c2)SCCC)NC(=O)OC,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A22,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-261,Ethisterone,5284557,https://pubchem.ncbi.nlm.nih.gov/compound/5284557,1.25,434-03-7,[C@]12(\C(=C/C(=O)CC1)\CC[C@@]1([C@@]2(CC[C@]2([C@]1(CC[C@]2(C#C)O)[H])C)[H])[H])C,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A23,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,1.563,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,,positive control,inhibits influenza virus replication,,,Hoechst:nuclei; GFP:infection
BSF019243-1A,A24,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,1.563,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,,positive control,inhibits influenza virus replication,,,Hoechst:nuclei; GFP:infection
BSF019243-1A,A3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-1409,Etretinate,5282375,https://pubchem.ncbi.nlm.nih.gov/compound/5282375,1.25,54350-48-0,c1(c(c(c(cc1C)OC)C)C)\C=C\C(=C\C=C\C(=C\C(=O)OCC)\C)\C,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A4,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-1430,Lofexidine,30668,https://pubchem.ncbi.nlm.nih.gov/compound/30668,1.25,31036-80-3,c1(OC(/C/2=N/CCN2)C)c(Cl)cccc1Cl,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-1456,Opipramol dihydrochloride,71587,https://pubchem.ncbi.nlm.nih.gov/compound/71587,1.25,909-39-7,N1(c2c(\C=C/c3c1cccc3)cccc2)CCCN1CCN(CC1)CCO,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-1477,Penicillamine,4727,https://pubchem.ncbi.nlm.nih.gov/compound/4727,1.25,52-66-4,[C@@H](C(=O)O)(C(S)(C)C)N,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
BSF019243-1A,A7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Influenza A virus,NCBITaxon,NCBITaxon_11320,A549,EFO,EFO_0001086,Prestw-1492,Lamotrigine,3878,https://pubchem.ncbi.nlm.nih.gov/compound/3878,1.25,84057-84-1,c1(c(nc(nn1)N)N)c1c(c(Cl)ccc1)Cl,,,,,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
